"There have been %s0 comments%s","Có %s0 bình luận %s"
"There have been %s%s comment(s)%s","Có %s%s bình luận %s"
"Posted on %s by %s","Được đăng %s bởi %s"
"This post was posted in","Được đăng trong"
"Recent Posts","Bài viết mới"
"Posted on %s at %s","Được đăng %s ở %s"
"Posts by ‘%s‘","Đăng bởi ‘%s‘"
"says","Nói"
"Post your comment","Bài đăng của bạn"
"Response to %s","Trả lời cho %s"
"Comments","Bình luận"
"Name","Tên"
"Email","Email"
"Website","Trang Web "
"Comment","Bình luận"
"Home","Trang chủ"

"January","Tháng Một"
"February","Tháng hai"
"March","Tháng ba"
"April","Tháng tư"
"May","Tháng năm"
"June","Tháng sáu"
"July","Tháng bảy"
"August","Tháng tám"
"September","Tháng chín"
"October","Tháng mười"
"November","Tháng mười một"
"December","Tháng mười hai"

"Monday","Thứ hai"
"Tuesday","Thứ ba"
"Wednesday","Thứ tư"
"Thursday","Thứ năm"
"Friday","Thứ sáu"
"Saturday","Thứ bảy"
"Sunday","Chủ nhật"

"Next","Tiếp"
"Previous","Quay lại"

"Blog Search","Blog tìm kiếm"
"Go","Đi tới"
"Search our blog...","Tìm kiếm  blog của bạn..."
"You must be logged in to post a comment.","Bạn phải đăng nhập để bình luận."
