"Access denied.","Truy cập bị từ chối."

"Client Session Timeout (sec.)","Thời gian chờ máy khách (giây)"

"Default Response Charset","Kí tự phản hồi mặc định"

"Email","Email"

"General Settings","Thiết lập chung"

"Invalid webservice adapter specified.","Bộ chuyển đổi webservice không hợp lệ."

"Invalid webservice handler specified.","Xử lý dịch vụ web không hợp lệ ."

"Magento Core API","Trung tâm magento API"

"Magento Core API Section","Trung tâm magento API"

"Roles","Vai trò"

"Unable to login.","Không thể đăng nhập."

"User Name","Tên người dùng"

"Users"," Người dùng"

"WS-I Compliance","Theo chuẩn WS-I"

"Web Services","Dịch vụ web"

"Your account has been deactivated.","Tài khoản của bạn đã bị vô hiệu hoá."
