"* Required Fields","*Trường bắt buộc"

"-- Select --","-- Chọn --"

"Add New Option","Thêm tùy chọn mới"

"Add Selection","Thêm lựa chọn"

"As Low as","Thấp như"

"As low as","Thấp như"

"Bundle Items","Phần đóng gói"

"Bundle Product","Đóng gói sản phẩm"

"Buy %1$s with %2$s discount each","Mua được %2$s giảm giá "

"Catalog Product View (Bundle)","Danh mục sản phẩm (đóng gói)"

"Checkbox","Checkbox"

"Choose a selection...","Chọn một lựa chọn..."

"Close","Đóng"

"Default","Mặt định"

"Default Qty","Số lượng mặc định"

"Default Title","Tiêu đề mặt định"

"Drop-down","Sổ xuống"

"Dynamic","Động"

"Excl. Tax","Excl. Thuế"

"Fixed","Cố định"

"From","Từ"

"From:","Từ:"

"Gift Message","Tin nhắn quà tặng"

"Incl. Tax","Đã bao gồm. thuế"

"Input Type","Loại đầu vào"

"Is Required","là bắt buộc"

"Message:","Tin nhắn:"

"Multiple Select","Nhiều lựa chọn"

"N/A","N/A"

"No options of this product are available.","Các tùy chọn của sản phẩm này là không có sẵn."

"None"," Không"

"Percent"," Phần trăm"

"Percent Discount"," Phần trăm giảm giá"

"Please Select Products to Add","Vui lòng chọn sản phẩm để thêm vào"

"Please enter search conditions to view products.","Xin vui lòng nhập điều kiện tìm kiếm để xem các sản phẩm."

"Please select options for product.","Vui lòng chọn tùy chọn cho sản phẩm."

"Please specify product option(s).","Vui lòng lựa chọn sản phẩm."

"Position","Vị trí"

"Price Range","Giá cả"

"Price Type","Loại giá"

"Price as configured","Mức giá được cấu hình"

"Qty:","Số lượng:"

"Radio Buttons","Các nút radio"

"Required options are not selected.","Các tùy chọn bắt buộc không được chọn."

"Selected required options are not available.","Các tùy chọn cần được lựa chọn là không có sẵn."

"Separately","Riêng"

"Ship Bundle Items","Mục đóng gói vận chuyển"

"Shipment","Giao hàng"

"Store View Title"," Tiêu đề cửa hàng"

"There is no defined renderer for ""%s"" option type.","Không hoàn trả lại ""%s"" loại tùy chọn."

"This product is also part of bundle(s)","Sản phẩm này cũng là một phần của gói hàng"

"To"," Tới"

"To:"," Tới:"

"Together","Cùng lúc"

"Use Default Value","Dùng giá trị mặc định"

"User Defined Qty","Số lượng người dùng định nghĩa "
