"%s,""%s"""
"%s already exist.,""%s đã tồn tại."""
"%s already exists.,""%s đã tồn tại."""
"-- Please Select --,""-- Vui lòng chọn --"""
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain,""<strong style=""""color:red"""">Cảnh báo!</strong> Khi sử dụng DN, trong một số trường hợp JavaScript không thể chạy đúng nếu CDN không có trong tên miền phụ"""
"A category object is required for determining the product request path.,""Một danh mục sản phẩm được yêu cầu xác định đường dẫn sản phẩm."""
"Add Block Names to Hints,""Thêm gợi ý"""
"Add Secret Key to URLs","Thêm khóa bí mật vào URLs"
"Add Store Code to Urls","Thêm mã cửa hàng vào URLs"
"Admin,""Quản trị viên"""
"Admin Base URL,""Cơ sở quản trị URL"""
"Admin User Emails,""Quản trị email người dùng"""
"Advanced,""Nâng cao"""
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Sau khi chọn vị trí lưu trữ mới, hãy nhấn nút đồng bộ hóa
                               để chuyển các phương tiện truyền thông sang vị trí đó.Phương tiện truyền thông sẽ không có sẵn ở đó cho đến khi quá trình đồng bộ hoàn tất."
"Allow Countries,""Các quốc gia hợp lệ"""
"Allow Symlinks,""Liên kết hợp lệ"""
"Allowed IPs (comma separated),""IPs cho phép (dấu phẩy)"""
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!,""Các tập tin hợp lệ: ICO, PNG, GIF, JPEG, APNG, SVG. Không phải tất cả trình duyệt đều hỗ trợ tất cả định dạng!"""
"Allows customers to stay logged in when switching between different stores.,""Cho phép khách hàng luôn đăng nhập khi chuyển đổi giữa các khách hàng khác nhau."""
"Alternative text for next link in pagination menu. If empty, default arrow image will used.,""Văn bản thay thế cho liên kết tiếp theo trong trình đơn phân trang. Nếu trống, hình mũi tên sẽ được sử dụng."""
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.,""Văn bản thay thế cho liên kết trước đó trong trình đơn phân trang. Nếu trống, hình mũi tên sẽ được sử dụng."""
"An error occurred while saving. Please review the error log.,""Đã xảy ra lỗi khi lưu. Vui lòng xem lại lỗi đăng nhập."""
"Anchor Text for Next,""Văn bản kế tiếp"""
"Anchor Text for Previous","Văn bản trước đó"
"Anchor symbol (#) is not supported in request path,""Ký tự (#) không được hỗ trợ trong đường dẫn theo yêu cầu"""
"Anchor symbol (#) is not supported in url rewrite suffix,""Biểu tượng (#) không được hỗ trợ trong hậu tố của URL"""
"Are you sure?,""Bạn có chắc không?"""
"Auto-redirect to Base URL,""Tự động-chuyển hướng đến URL cơ sở"""
"Back,""Trở về"""
"Backup Options,""Tùy chọn sao lưu"""
"Base JavaScript URL,""Cơ sở URL JavaScript"""
"Base Link URL,""Đường dẫn cơ sở URL"""
"Base Media URL,""Cơ sở truyền thông URL"""
"Base Secure URL,""Cơ sở an toàn URL"""
"Base Skin URL,""Vùng cơ sở URL"""
"Base URL,""Cơ sở URL"""
"Base Unsecure URL,""Cơ sở không an toàn URL"""
