" for more information or ,"" để biết thêm thông tin hoặc """
"# of Items (and above),""# chi tiết (và thêm)"""
"# of Items vs. Destination,""# chi tiết so với điểm đến"""
"%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s,""%1$d hồ sơ đã được nhập. Xem danh sách lỗi cho mỗi bản ghi mà không thể nhập: %2$s"""
"Allow Shipping to Multiple Addresses","Cho phép vận chuyển đến nhiều địa chỉ"""
"An error occurred while import table rates.,""Đã xảy ra lỗi khi nhập bảng giá."""
"Calculate Handling Fee,""Tính phi xử lý"""
"Carrier:,""Nhà cung cấp:"""
"City,""Thành phố"""
"Close Window,""Đóng cửa sổ"""
"Condition,""Điều kiện"""
"Country,""Quốc gia"""
"Date,""Ngày"""
"Delivered on:,""Phân phối về:"""
"Delivered to:,""Phân phối về:"""
"Description,""Mô tả"""
"Displayed Error Message,""Hiển thị thông báo lỗi"""
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").,""Trùng lặp dòng #%s (Quốc gia """"%s"""", Vùng/Khu vực """"%s"""", Zip """"%s"""" và giá trị """"%s"""")."""
"Enabled,""Kích hoạt"""
"Error:,""Lỗi:"""
"Export,""Xuất"""
"Fixed,""Sửa lỗi"""
"Flat Rate,""Giá gốc"""
"Free Shipping,""Vận chuyển miễn phí"""
"Google Sitemap Section,""Mục sơ đồ web Google"""
"Handling Fee,""Phí xử lý"""
"Import,""Nhập"""
"Include Virtual Products in Price Calculation,""Bao gồm các sản phẩm ảo trong tính toán giá"""
"Info:,""Thông tin:"""
"Invalid %s ""%s"" in the Row #%s.,""%s không hợp lệ """"%s"""" trong dòng #%s."""
"Invalid Country ""%s"" in the Row #%s.,""Quốc gia không hợp lệ """"%s"""" trong dòng #%s."""
"Invalid Region/State ""%s"" in the Row #%s.,""Vùng/Khu vực không hợp lệ """"%s"""" trong dòng #%s."""
"Invalid Shipping Price ""%s"" in the Row #%s.,""Giá vận chuyển không hợp lệ """"%s"""" trong dòng #%s."""
"Invalid Table Rate code for type %s: %s,""Mã bảng giá không hợp lệ cho loại %s: %s"""
"Invalid Table Rate code type: %s,""Loại mã bảng giá không hợp lệ: %s"""
"Invalid Table Rates File Format,""Định dạng tập tin bảng giá không hợp lệ"""
"Invalid Table Rates format in the Row #%s,""Định dạng bảng giá không hợp lệ ở dòng #%s"""
"Local Time,""Giờ địa phương"""
"Location,""Vị trí"""
"Maximum Qty Allowed for Shipping to Multiple Addresses,""Số lượng tối đa khi vẫn chuyển nhiều địa chỉ"""
"Method Name,""Tên phương thức"""
"Minimum Order Amount,""Số đơn hàng tối thiểu"""
"N/A,""N/A"""
"None,""Không"""
"Options,""Tùy chọn"""
"Order Subtotal (and above),""Tổng đơn hàng (và hơn)"""
"Origin,""Nguồn gốc"""
"Per Order,""Đơn hàng trung bình"""
"Per Package,""Gói trung bình"""
"Percent,""Phần trăm"""
"Price,""Giá"""
"Price vs. Destination,""Giá so với điểm đến"""
"Region/State,""Vùng/Khu vực"""
"Service Type:,""Loại dịch vụ:"""
"Ship to Applicable Countries,""Phí vận chuyển áp dụng cho các nước"""
"Ship to Specific Countries,""Phí vận chuyển cho các nước cụ thể"""
"Shipment #,""Vận chuyển #"""
"Shipment Tracking Popup,""Cửa sổ theo dõi vận chuyển"""
"Shipped or billed on:,""Đã giao hàng hoặc thanh toán trên:"""
"Shipping Methods,""Phương thức vận chuyển"""
"Shipping Methods Section,""Mục phương thức vận chuyển"""
"Shipping Settings,""Thiết lập vận chuyển"""
"Shipping Settings Section,""Mục thiết lập vận chuyển"""
"Show Method if Not Applicable,""Xem phương thức không áp dụng"""
"Signed by:,""Ký bởi:"""
"Sort Order,""Sắp xếp hóa đơn"""
"Status:,""Trạng thái:"""
"Store Pickup,""Xe hàng của cửa hàng"""
"Street Address,""Địa chỉ đường"""
"Street Address Line 2,""Dòng địa chỉ đường 2"""
"Table Rates,""Bảng giá"""
"The shipping module is not available for selected delivery country.,""Các module vận chuyển không có sẵn cho quốc gia giao hàng đã lựa chọn."""
"The shipping module is not available.,""Các module vận chuyển không có sẵn."""
"There is no tracking available for this shipment.,""Theo dõi không có sẵn cho lô hàng này."""
"There is no tracking available.,""Theo dõi không có sẵn."""
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.,""Phương pháp vận chuyển này không có sẵn. Nếu bạn muốn sử dụng phương pháp vận chuyển này, xin vui lòng liên hệ với chúng tôi."""
"This shipping method is not available, please specify ZIP-code,""Phương pháp vận chuyển này không có sẵn, vui lòng ghi rõ mã ZIP"""
"Title,""Tiêu đề"""
"Track:,""Theo dõi:"""
"Tracking Information,""Thông tin theo dõi"""
"Tracking Number:,""Số theo dõi:"""
"Tracking information is currently not available. Please ,""Theo dõi thông tin hiện không có sẵn. Xin vui lòng """
"Tracking information is currently unavailable.,""Theo dõi thông tin chưa có."""
"Type,""Loại"""
"Weight (and above),""Trọng lượng (và hơn)"""
"Weight vs. Destination,""Trọng lượng so với điểm đến"""
"Weight:,""Trọng lượng:"""
"ZIP/Postal Code,""Mã ZIP/Bưu chính"""
"contact us,""contact us"""
"email us at ,""email cho chúng tôi tại """
