"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.,""'*' - phù hợp với bất kỳ";" 'xyz*' - phù hợp với bắt đầu bất kỳ bằng 'xyz' và không dài hơn %d."""
"-- Please Select --,""-- Vui lòng chọn --""";
"Add New Class,""Thêm loại mới""";
"Add New Tax Rate,""Thêm tỷ giá thuế mới""";
"Add New Tax Rule,""Thêm quy định thuế mới""";
"After Discount,""Sau khi giảm""";
"An error occurred while deleting this rate.,""Lỗi khi xóa tỷ giá này.""";
"An error occurred while deleting this rate. Incorrect rate ID.,""Lỗi khi xóa tỷ giá này. ID không đúng.""";
"An error occurred while deleting this tax class.,""Lỗi khi xóa loại thuế này.""";
"An error occurred while deleting this tax rule.,""Lỗi khi xóa quy định thuế này.""";
"An error occurred while saving this rate.,""Lỗi khi lưu tỷ giá này.""";
"An error occurred while saving this tax class.,""Lỗi khi lưu loại thuế này.""";
"An error occurred while saving this tax class. A class with the same name,""Lỗi khi lưu loại thuế này. Cùng tên loại thuế""";
"An error occurred while saving this tax rule.,""Lỗi khi lưu quy định thuế này.""";
"Apply Customer Tax,""Áp dụng thuế khách hàng""";
"Apply Discount On Prices,""Áp dụng giảm giá bán""";
"Apply Tax On,""Áp dụng thuế vào""";
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.,""Áp dụng giảm giá đã bao gồm thuế được tính căn cứ vào thuế cửa hàng, nếu """"Áp dụng thuế sau khi giảm giá"""" được chọn.""";
"Are you sure you want to do this?,""Bạn có chắc muốn làm điều này?""";
"Back,""Quay lại""";
"Before Discount,""Trước khi giảm giá""";
"CSV,""CSV""";
"Calculation Settings,""Thiết lập tính toán""";
"Catalog Prices,""Giá danh mục""";
"Class Name,""Tên""";
"Code,""Mã""";
"Country,""Quốc gia""";
"County,""Quận""";
"Custom price if available,""Tùy chỉnh giá nếu có""";
"Customer Tax Class,""Loại thuế khách hàng""";
"Customer Tax Class Information,""Thông tin loại thuế khách hàng""";
"Customer Tax Classes,""Các loại thuế khách hàng""";
"Default Country,""Quốc gia mặc định""";
"Default Post Code,""Mã bưu chính mặc định""";
"Default State,""Khu vực mặc định""";
"Default Tax Destination Calculation,""Điểm đến tính toán thuế mặc định""";
"Delete Class,""Xóa loại""";
"Delete Rate,""Xóa tỷ giá""";
"Delete Rule,""Xóa quy định""";
"Display Full Tax Summary,""Hiển thị đầy đủ tóm lược của thuế""";
"Display Prices,""Hiển thị giá""";
"Display Product Prices In Catalog,""Hiển thị giá sản phẩm trên danh mục""";
"Display Shipping Amount,""Hiển thị số lượng vận chuyển""";
"Display Shipping Prices,""Hiển thị giá vận chuyển""";
"Display Subtotal,""Hiển thị tổng số""";
"Display Zero Tax Subtotal,""Hiển thị tổng số không có thuế """;
"Edit Class,""Sửa loại""";
"Edit Class '%s',""Sửa loại '%s'""";
"Edit Rule,""Sửa quy định""";
"Edit Tax Rate,""Sửa tỷ giá thuế""";
"Excel XML,""Tính Excel XML""";
"Excl. Tax,""Không bao gồm thuế""";
"Excl. Tax:,""Không bao gồm thuế:""";
"Excluding Tax,""Không bao gồm thuế""";
"Export Tax Rates,""Tỷ giá thuế xuất khẩu""";
"Grand Total (Excl. Tax),""Tổng (Không bao gồm thuế)""";
"Grand Total (Excl.Tax),""Tổng (Không bao gồm thuế)""";
"Grand Total (Incl. Tax),""Tổng (Bao gồm thuế)""";
"Grand Total (Incl.Tax),""Tổng (Bao gồm thuế)""";
"Grand Total Excl. Tax,""Tổng không bao gồm thuế""";
"Grand Total Incl. Tax,""Tổng bao gồm thuế""";
"Import / Export Tax Rates,""Tỷ giá thuế xuất/nhập""";
"Import Tax Rates,""Tỷ giá thuế nhập""";
"Inc. Tax,""Bao gồm thuế""";
"Incl. Tax,""Bao gồm thuế""";
"Incl. Tax:,""Bao gồm thuế:""";
"Include Tax In Grand Total,""Bao gồm thuế trong tổng tiền""";
"Including Tax,""Bao gồm thuế""";
"Including and Excluding Tax,""Bao gồm và không bao gồm thuế""";
"Invalid file format upload attempt,""Không thể tải lên tập tin có định dạng không được hỗ trợ""";
"Invalid file upload attempt,""Không thể tải lên tập tin""";
"Manage Customer Tax Classes,""Quản lý loại thuế khách hàng""";
"Manage Product Tax Classes,""Quản lý loại thuế sản phẩm""";
"Manage Tax Rates,""Quản lý tỷ giá thuế""";
"Manage Tax Rules,""Quản lý quy định thuế""";
"Manage Tax Zones & Rates,""Quản lý tỷ giá và vùng thuế""";
"Name,""Tên""";
"New Class,""Loại mới""";
"New Rule,""Quy định mới""";
"New Tax Rate,""Tỷ giá thuế mới""";
"No,""Không""";
"None,""Không""";
"One of the country has invalid code.,""Một trong những nước có mã không hợp lệ.""";
"Orders, Invoices, Creditmemos Display Settings,""Tùy chọn hiển thị đơn hàng, hóa đơn, bản ghi nhớ tín dụng""";
"Original price only,""Chỉ có giá gốc""";
"Price Display Settings,""Tùy chọn hiển thị giá""";
"Priority,""Ưu tiên""";
"Product Tax Class,""Loại thuế sản phẩm""";
"Product Tax Class Information,""Thông tin loại thuế sản phẩm""";
"Product Tax Classes,""Loại thuế sản phẩm""";
"Range From,""Phạm vi từ""";
"Range To,""Phạm vi đến""";
"Rate,""Tỷ giá""";
"Rate Percent,""Tỷ giá phần trăm""";
"Reset,""Thiết lập lại""";
"Row Total,""Tổng số dòng""";
"Sales,""Bán hàng""";
"Save Class,""Lưu loại""";
"Save Rate,""Lưu tỷ giá""";
"Save Rule,""Lưu quy định""";
"Save and Continue Edit,""Lưu và tiếp tục sửa""";
"Shipping & Handling (Excl.Tax),""Vận chuyển & xử lý (Không bao gồm thuế)""";
"Shipping & Handling (Incl.Tax),""Vận chuyển & xử lý (Bao gồm thuế)""";
"Shipping & Handling Tax,""Thuế vận chuyển & xử lý""";
"Shipping (Excl. Tax),""Vận chuyển (Không bao gồm thuế)""";
"Shipping (Incl. Tax),""Vận chuyển (Bao gồm thuế)""";
"Shipping Excl. Tax (%s),""Vận chuyển không bao gồm thuế (%s)""";
"Shipping Incl. Tax (%s),""Vận chuyển bao gồm thuế (%s)""";
"Shipping Prices,""Giá vận chuyển""";
"Shopping Cart Display Settings,""Thiết lập hiển thị giỏ hàng""";
"Sort Order,""Sắp xếp đơn hàng""";
"State,""Vùng""";
"State/Region,""Vùng/Khu vực""";
"Subtotal (Excl. Tax),""Tổng (Không bao gồm thuế)""";
"Subtotal (Excl.Tax),""Tổng (Không bao gồm thuế)""";
"Subtotal (Incl. Tax),""Tổng (Bao gồm thuế)""";
"Subtotal (Incl.Tax),""Tổng (Bao gồm thuế)""";
"Tax,""Thuế""";
"Tax Calculation Based On,""Tính toán thuế dựa vào""";
"Tax Calculation Method Based On,""Phương thức tính toán thuế dựa vào""";
"Tax Class for Shipping,""Loại thuế cho vận chuyển""";
"Tax Classes,""Loại thuế""";
"Tax Identifier,""Nhận dạng loại thuế""";
"Tax Rate,""Tỷ giá thuế""";
"Tax Rate Information,""Thông tin tỷ giá thuế""";
"Tax Rule Information,""Thông tin quy định thuế""";
"Tax Rules,""Quy định thuế""";
"Tax Section,""Mục thuế""";
"Tax Titles,""Tiêu đề thuế""";
"Tax rate cannot be removed. It exists in tax rule,""Tỷ giá thuế không thể loại bỏ. Nó tồn tại trong quy định thuế""";
"Tax rates at the same priority are added, others are compounded.,""Tỷ giá thuế mức ưu tiên được thêm vào, loại khác sẽ phức tạp hơn.""";
"The tax class has been deleted.,""Loại thuế đã được xóa.""";
"The tax class has been saved.,""Loại thuế đã được lưu.""";
"The tax rate has been deleted.,""Tỷ giá thuế đã được xóa.""";
"The tax rate has been imported.,""Tỷ giá thuế đã được nhập.""";
"The tax rate has been saved.,""Tỷ giá thuế đã được lưu.""";
"The tax rule has been deleted.,""Quy định thuế đã được xóa.""";
"The tax rule has been saved.,""Quy định thuế đã được lưu.""";
"This class no longer exists,""Loại này không tồn tại""";
"This rule no longer exists,""Quy định này không tồn tại""";
"This rule no longer exists.,""Quy định này không tồn tại.""";
"Total,""Tổng""";
"Unit Price,""Đơn vị giá""";
"Whether catalog prices entered by admin include tax.,""Cho dù giá danh mục được nhập vào bởi quản trị viên đã bao gồm thuế.""";
"Whether shipping amounts entered by admin or obtained from gateways include tax.,""Cho dù số lượng vận chuyển nhập vào bởi quản trị hoặc thu được từ các cổng đã bao gồm thuế.""";
"Yes,""Đồng ý""";
"You cannot delete this tax class as it is used for %d customer groups.,""Bạn không thể xóa loại thuế này vì nó được sử dụng cho %d nhóm khách hàng.""";
"You cannot delete this tax class as it is used for %d products.,""Bạn không thể xóa loại thuế này vì nó được sử dụng cho %d sản phẩm.""";
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.,""Bạn không thể xóa loại thuế này vì nó được sử dụng ctrong quy định thuế. Bạn cần phải xóa các quy định nó được sử dụng đầu tiên.""";
"Zip/Post Code,""Mã Zip/Bưu chính""";
"Zip/Post is Range,""Zip/Bưu chính là phạm vi""";
