" But cart has some errors."," Nhưng giỏ hàng có một số lỗi."""
"""Description"" is more than %d characters long","""""Mô tả sản phẩm"""" dài hơn %d ký tự"""
"""Title"" is more than %d characters long","""""Tiêu đề"""" dài hơn %d ký tự"""
"""id"" attribute is required for a ""%s"" field.","Thuộc tính""""id"""" được yêu cầu cho """"%s""""."""
"""line_count"" attribute is required for ""multiline"" element.","Thuộc tính """"Số dòng"" được yêu cầu cho yếu tố """"nhiều dòng""""."""
"""message"" attribute is required for ""%s"" validator rule.","Thuộc tính""""tin nhắn"""" được yêu cầu cho nguyên tắc xác nhận """"%s"""" ."""
"%1$s has been added to your wishlist.","%1$s đã được thêm vào danh sách mong muốn của bạn."""
"%1$s incl tax.","%1$s đã bao gồm thuế."""
"%s API Key required.","Yêu cầu khóa API %s ."""
"%s Application ID required.","Yêu cầu áp dụng ID %s ."""
"%s Secret Key required.","Yêu cầu khóa bí mật %s ."""
"%s attribute is required.","Yêu cầu thuộc tính %s."""
"%s has been added to your cart.","%s đã được thêm vào giỏ hàng của bạn."""
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Gồm nhiều nước khác ngoài các nước được liệt kê dưới đây. Là chủ sở hữu ứng dụng, bạn có trách nhiệm tuân thủ pháp luật của chính quốc gia của bạn, cụ thể liên quan đến việc phân phối hoặc bán ứng dụng của bạn vào quốc gia này và cả quốc gia của bạn.)"""
"*Subject to change","*Thay đổi"""
"10:40 AM","10:40 SA"""
"80px x 80px","80px x 80px"""
"80x80 px","80x80 px"""
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""""%s"""" target=""""_blank"""">Đăng nhập</a> vào Urban Airship."""
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Ứng dụng danh mục sẽ không hỗ trợ các chức năng như thêm vào giỏ hàng, thêm vào mục ưa thích, hoặc đăng nhập."""
"A new password has been sent.","Mật khẩu mới đã được gửi đi"""
"Account","Tài khoản"""
"Account confirmation is required. Please check your email for the confirmation link.","Yêu cầu xác nhận tài khoản. Hãy kiểm tra email của bạn để xác nhận liên kết."""
"Account information has been saved.","Thông tin tài khoản đã được lưu."""
"Action","Hoạt động"
"Activate","Kích hoạt"""
"Activate PayPal Checkout","Kích hoạt thanh toán bằng PayPal"""
"Activate PayPal MECL","Kích hoạt PayPal MECL"""
"Activation Key","Kích hoạt khóa"""
"Add App","Thêm ứng dụng"""
"Add New Template","Thêm mẫu mới"""
"Add Page","Thêm trang"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Additional Address","Bổ sung địa chỉ"""
"Address","Địa chỉ"""
"Address 2","Địa chỉ 2"""
"Address data not specified.","Địa chỉ không xác định."""
"Address does not belong to this customer.","Địa chỉ không thuộc của khách hàng này."""
"Address has been deleted.","Địa chỉ đã bị xóa."""
"Address has been saved.","Địa chỉ đã được lưu."""
"Administrative contact for this app and for app submission issues.","Liên hệ quản trị để biết thêm về ứng dụng và các vấn đề ứng dụng này."""
"Advanced Settings","Cài đặt nâng cao"""
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Sau khi cài đặt ứng dụng Magento, vui lòng liên hệ <a href=""""mailto:%1$s"""">%1$s</a> để nhận các khóa ứng dụng, ứng dụng bí mật và ứng dụng siêu bí mật."""
"AirMail Message Queue","Hàng đợi tin nhắn"""
"AirMail Messages Queue","Hàng đợi tin nhắn"""
"AirMail Template Preview","Xem trước mẫu"""
"AirMail message","Tin nhắn"""
"AirMail templates","Mẫu"""
"All Allowed Countries","Các quốc gia hợp lệ"""
"All locations","Các địa điểm"""
"An account with this email address already exists.","Một tài khoản với địa chỉ email này đã tồn tại."""
"An error occurred while adding item to wishlist.","Đã xảy ra lỗi khi thêm sản phẩm vào mục ưa thích."""
"An error occurred while deleting the address.","Đã xảy ra lỗi khi xóa địa chỉ."""
"An error occurred while loading categories.","Đã xảy ra lỗi khi tải loại hàng."""
"An error occurred while loading category filters.","Đã xảy ra lỗi khi loại loại hàng."""
"An error occurred while loading wishlist.","Đã xảy ra lỗi khi tải danh sách yêu thích."""
"An error occurred while processing your order. Please contact us or try again later.","Đã xảy ra lỗi trong khi xử lý đơn hàng của bạn. Hãy liên hệ với chúng tôi hoặc thử lại sau ."""
"An error occurred while processing your request.","Đã xảy ra lỗi trong khi xử lý yêu cầu của bạn."""
"An error occurred while removing item from wishlist.","Đã xảy ra lỗi khi xóa sản phẩm trong danh sách yêu thích."""
"An error occurred while removing items from wishlist.","Đã xảy ra lỗi khi xóa sản phẩm trong danh sách yêu thích."""
"Analytics","Phân tích"""
"Android","Android"""
"Android doesn\'t support AirMail message type.","Android không hỗ trợ dạng tin nhắn Air Mail."""
"App Background","Nền ứng dụng"""
